ID	GO
GBJ002_00003	GO:0003678
GBJ002_00003	GO:0006310
GBJ002_00003	GO:0009432
GBJ002_00013	GO:0004427
GBJ002_00013	GO:0005737
GBJ002_00013	GO:0030145
GBJ002_00020	GO:0008840
GBJ002_00020	GO:0009089
GBJ002_00022	GO:0047580
GBJ002_00035	GO:0070394
GBJ002_00037	GO:0006508
GBJ002_00037	GO:0008234
GBJ002_00037	GO:0016998
GBJ002_00037	GO:0071555
GBJ002_00048	GO:0004177
GBJ002_00048	GO:0006508
GBJ002_00048	GO:0008236
GBJ002_00048	GO:0008239
GBJ002_00049	GO:0005886
GBJ002_00049	GO:0006457
GBJ002_00049	GO:0140839
GBJ002_00049	GO:0140840
GBJ002_00054	GO:0008782
GBJ002_00054	GO:0008930
GBJ002_00054	GO:0009116
GBJ002_00054	GO:0009164
GBJ002_00054	GO:0019509
GBJ002_00086	GO:0004594
GBJ002_00086	GO:0005524
GBJ002_00086	GO:0005829
GBJ002_00086	GO:0015937
GBJ002_00096	GO:0006790
GBJ002_00096	GO:0008726
GBJ002_00096	GO:0010181
GBJ002_00099	GO:0005524
GBJ002_00099	GO:0005886
GBJ002_00099	GO:0016887
GBJ002_00116	GO:0005975
GBJ002_00116	GO:0016810
GBJ002_00126	GO:0003866
GBJ002_00126	GO:0005737
GBJ002_00126	GO:0008652
GBJ002_00126	GO:0009073
GBJ002_00126	GO:0009423
GBJ002_00128	GO:0000105
GBJ002_00128	GO:0004400
GBJ002_00128	GO:0030170
GBJ002_00129	GO:0004107
GBJ002_00129	GO:0005829
GBJ002_00129	GO:0008652
GBJ002_00129	GO:0009073
GBJ002_00129	GO:0009423
GBJ002_00129	GO:0010181
GBJ002_00130	GO:0003824
GBJ002_00130	GO:0009073
GBJ002_00130	GO:0046417
GBJ002_00143	GO:0006099
GBJ002_00143	GO:0008924
GBJ002_00143	GO:0047545
GBJ002_00149	GO:0005975
GBJ002_00149	GO:0009372
GBJ002_00149	GO:0071518
GBJ002_00151	GO:0016829
GBJ002_00158	GO:0004350
GBJ002_00158	GO:0005737
GBJ002_00158	GO:0006561
GBJ002_00158	GO:0016620
GBJ002_00158	GO:0050661
GBJ002_00158	GO:0055129
GBJ002_00159	GO:0003723
GBJ002_00159	GO:0004349
GBJ002_00159	GO:0005524
GBJ002_00159	GO:0005829
GBJ002_00159	GO:0055129
GBJ002_00160	GO:0004735
GBJ002_00160	GO:0006561
GBJ002_00175	GO:0005524
GBJ002_00175	GO:0016301
GBJ002_00190	GO:0000034
GBJ002_00190	GO:0006146
GBJ002_00246	GO:0004252
GBJ002_00246	GO:0006465
GBJ002_00246	GO:0009306
GBJ002_00246	GO:0016020
GBJ002_00248	GO:0005737
GBJ002_00248	GO:0008270
GBJ002_00248	GO:0032041
GBJ002_00248	GO:0046969
GBJ002_00248	GO:0046970
GBJ002_00248	GO:0070403
GBJ002_00248	GO:0097372
GBJ002_00248	GO:0140765
GBJ002_00248	GO:0141222
GBJ002_00249	GO:0005829
GBJ002_00249	GO:0006508
GBJ002_00249	GO:0008234
GBJ002_00249	GO:0016920
GBJ002_00252	GO:0003824
GBJ002_00252	GO:0005524
GBJ002_00252	GO:0005975
GBJ002_00252	GO:0017168
GBJ002_00254	GO:0005975
GBJ002_00254	GO:0008152
GBJ002_00254	GO:0017168
GBJ002_00256	GO:0004252
GBJ002_00256	GO:0006465
GBJ002_00256	GO:0009306
GBJ002_00256	GO:0016020
GBJ002_00271	GO:0005524
GBJ002_00271	GO:0016301
GBJ002_00271	GO:0016310
GBJ002_00278	GO:0006520
GBJ002_00278	GO:0008797
GBJ002_00282	GO:0009847
GBJ002_00282	GO:0016020
GBJ002_00283	GO:0009847
GBJ002_00283	GO:0016020
GBJ002_00284	GO:0009847
GBJ002_00284	GO:0016020
GBJ002_00287	GO:0005886
GBJ002_00293	GO:0004735
GBJ002_00293	GO:0006561
GBJ002_00299	GO:0004359
GBJ002_00299	GO:0006537
GBJ002_00299	GO:0006543
GBJ002_00309	GO:0016787
GBJ002_00322	GO:0005886
GBJ002_00322	GO:0016020
GBJ002_00322	GO:0033013
GBJ002_00322	GO:0042802
GBJ002_00322	GO:0046906
GBJ002_00325	GO:0005886
GBJ002_00325	GO:0008270
GBJ002_00326	GO:0003954
GBJ002_00326	GO:0005886
GBJ002_00326	GO:0008137
GBJ002_00326	GO:0015990
GBJ002_00326	GO:0042773
GBJ002_00330	GO:0004659
GBJ002_00336	GO:0004725
GBJ002_00336	GO:0005737
GBJ002_00336	GO:0030612
GBJ002_00336	GO:0046685
GBJ002_00337	GO:0008490
GBJ002_00337	GO:0015103
GBJ002_00337	GO:0015297
GBJ002_00337	GO:0015700
GBJ002_00337	GO:0016020
GBJ002_00337	GO:0046685
GBJ002_00346	GO:0004803
GBJ002_00351	GO:0004803
GBJ002_00352	GO:0003989
GBJ002_00352	GO:0006633
GBJ002_00352	GO:0009317
GBJ002_00378	GO:0008800
GBJ002_00378	GO:0030655
GBJ002_00381	GO:0003958
GBJ002_00381	GO:0005506
GBJ002_00381	GO:0005829
GBJ002_00381	GO:0010181
GBJ002_00381	GO:0016491
GBJ002_00381	GO:0020037
GBJ002_00381	GO:0050660
GBJ002_00381	GO:0070330
GBJ002_00384	GO:0003824
GBJ002_00409	GO:0003824
GBJ002_00409	GO:0004648
GBJ002_00409	GO:0005737
GBJ002_00409	GO:0006564
GBJ002_00409	GO:0030170
GBJ002_00437	GO:0004803
GBJ002_00464	GO:0005524
GBJ002_00464	GO:0006810
GBJ002_00464	GO:0009898
GBJ002_00464	GO:0016887
GBJ002_00464	GO:0042626
